ID,Title,County,State,Nearest Town,Acreage,Price,Is New Listing,Thumbnail Image,Additional Photos,Short Description,Full Overview,Road Frontage,Utilities,Parcel ID,YouTube URL,Google Maps Embed,Slug,Created Date
1,"45 Acres - Hocking County Timber & Recreation Land",Hocking,OH,Logan,45,225000,TRUE,/images/listings/listing-1-1.jpg,"/images/listings/listing-1-2.jpg,/images/listings/listing-1-3.jpg,/images/listings/listing-1-4.jpg","Exceptional timber property with mature hardwoods, creek frontage, and abundant wildlife.","This stunning 45-acre property in Hocking County offers the perfect blend of timber value and recreational opportunity. The land features mature hardwoods including oak, hickory, and maple, with a seasonal creek running through the northwest corner. Multiple building sites with excellent southern exposure. Wildlife including deer, turkey, and various game birds are abundant. Convenient access via maintained gravel road.",450 feet on county road,Electric available at road,HOC-2024-001,https://www.youtube.com/embed/dQw4w9WgXcQ,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d24429.237023216238!2d-82.40793!3d39.54016!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88476c1e6b1f2b6d%3A0x1234!2sLogan%2C+OH!5e0!3m2!1sen!2sus!4v1234567890"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",45-acres-hocking-county-oh,2024-01-15
2,"120 Acres - Athens County Valley & Ridge Property",Athens,OH,Athens,120,480000,TRUE,/images/listings/listing-2-1.jpg,"/images/listings/listing-2-2.jpg,/images/listings/listing-2-3.jpg","Diverse property with valley pasture, wooded ridges, pond, and mountain views.","A rare opportunity to own 120 acres of diverse terrain in beautiful Athens County. This property features approximately 40 acres of open valley land suitable for pasture or crops, with the remaining 80 acres in mature mixed hardwoods climbing the ridges. A spring-fed pond of approximately 1 acre provides water for livestock and attracts waterfowl. Spectacular views from the ridge tops. Old barn foundation and multiple excellent building sites.",800 feet,Electric and phone available,ATH-2024-002,,,120-acres-athens-county-oh,2024-01-20
3,"22 Acres - Wayne County Hunting & Homestead Land",Wayne,WV,Wayne,22,88000,FALSE,/images/listings/listing-3-1.jpg,"/images/listings/listing-3-2.jpg,/images/listings/listing-3-3.jpg,/images/listings/listing-3-4.jpg,/images/listings/listing-3-5.jpg","Secluded hunting land with excellent deer and turkey populations. Perfect for a cabin retreat.","Well-positioned 22-acre tract ideal for hunting or a weekend cabin. The property is heavily wooded with a mix of hardwoods and some pine, providing excellent cover and food sources for wildlife. Evidence of significant deer and turkey activity throughout. A natural bench on the eastern side offers a level building site with privacy. Gated entrance with deeded access easement.",200 feet,,WAY-2023-018,,,22-acres-wayne-county-wv,2023-11-10
4,"67 Acres - Ross County Farm & Timber",Ross,OH,Chillicothe,67,335000,FALSE,/images/listings/listing-4-1.jpg,/images/listings/listing-4-2.jpg,"Mixed-use property with tillable ground, woods, and income-producing timber.","Productive 67-acre farm in Ross County featuring approximately 35 acres of tillable ground currently in row crops, with the balance in mature timber. The timber includes walnut, oak, and cherry with good merchantable value. Property has been well-maintained and offers multiple income streams. Rolling topography with good drainage.","1,200 feet on paved road","Electric, phone, rural water available",ROS-2023-024,,,67-acres-ross-county-oh,2023-12-05
5,"185 Acres - Jackson County Investment Property",Jackson,WV,Ripley,185,740000,TRUE,/images/listings/listing-5-1.jpg,"/images/listings/listing-5-2.jpg,/images/listings/listing-5-3.jpg,/images/listings/listing-5-4.jpg,/images/listings/listing-5-5.jpg,/images/listings/listing-5-6.jpg","Large tract with natural gas rights, timber value, and recreation potential.","Outstanding 185-acre investment property offering multiple revenue opportunities. Property includes mineral rights and an existing natural gas lease providing annual income. Significant standing timber value with professional timber cruise available. Excellent hunting throughout with managed food plots already established. Internal trail system provides access to all corners of the property.","2,400 feet",Electric available,JAC-2024-003,https://www.youtube.com/embed/dQw4w9WgXcQ,,185-acres-jackson-county-wv,2024-01-25
6,"30 Acres - Vinton County Recreational Retreat",Vinton,OH,McArthur,30,135000,FALSE,/images/listings/listing-6-1.jpg,"/images/listings/listing-6-2.jpg,/images/listings/listing-6-3.jpg","Secluded wooded property near public hunting lands and ATV trails.","Perfect recreational getaway on 30 acres of wooded hillside in Vinton County. Property borders public land, effectively expanding your hunting and recreation area. Situated near extensive ATV trail systems. Several potential camping or cabin sites with good southern exposure. Property has been selectively logged in the past, creating excellent edge habitat for wildlife.",350 feet,,VIN-2023-031,,,30-acres-vinton-county-oh,2023-10-20
7,"52 Acres - Gallia County River Bottom Farm",Gallia,OH,Gallipolis,52,260000,FALSE,/images/listings/listing-7-1.jpg,"/images/listings/listing-7-2.jpg,/images/listings/listing-7-3.jpg,/images/listings/listing-7-4.jpg","Prime river bottom ground with excellent soil and Ohio River views.","Exceptional 52-acre farm featuring rich Ohio River bottom land. Approximately 45 acres are tillable with high-quality soil perfect for crops or pasture. Property includes nearly 1,000 feet of frontage along a scenic tributary of the Ohio River. Stunning views of the river valley from the higher ground. Property has been in row crops for decades with excellent yield history available.",600 feet,"Electric, phone, and municipal water available",GAL-2023-027,,,52-acres-gallia-county-oh,2023-11-18
8,"14 Acres - Ritchie County Building Site",Ritchie,WV,Harrisville,14,56000,TRUE,/images/listings/listing-8-1.jpg,/images/listings/listing-8-2.jpg,"Affordable building site with mixed woods and open meadow.","Nicely balanced 14-acre parcel with approximately 6 acres of open meadow and 8 acres of young timber. The open area provides an excellent building site with long-range views, while the wooded portion offers privacy and wildlife habitat. Property has been percolation tested with favorable results for conventional septic. Quiet country road with minimal traffic.",400 feet,Electric available at road,RIT-2024-005,,,14-acres-ritchie-county-wv,2024-02-01
9,"95 Acres - Meigs County Wildlife Sanctuary",Meigs,OH,Pomeroy,95,427500,FALSE,/images/listings/listing-9-1.jpg,"/images/listings/listing-9-2.jpg,/images/listings/listing-9-3.jpg,/images/listings/listing-9-4.jpg,/images/listings/listing-9-5.jpg","Premier hunting property with managed wildlife habitat and food plots.","Turn-key hunting property professionally managed for wildlife. Property features a network of established food plots totaling 8 acres, along with numerous fruit and mast-producing trees planted specifically for wildlife. Two established tree stand locations with elevated shooting houses. Internal road system provides easy access. Property is enrolled in conservation programs. Small cabin with sleeping quarters and basic amenities included.",800 feet,Off-grid solar system at cabin,MEI-2023-019,https://www.youtube.com/embed/dQw4w9WgXcQ,,95-acres-meigs-county-oh,2023-09-15
10,"38 Acres - Pike County Creek & Timber Property",Pike,OH,Piketon,38,171000,FALSE,/images/listings/listing-10-1.jpg,"/images/listings/listing-10-2.jpg,/images/listings/listing-10-3.jpg","Beautiful property with year-round creek, waterfalls, and mature hardwoods.","Stunning 38-acre property featuring a year-round creek with multiple small waterfalls and deep pools. The creek valley is surrounded by mature hardwood forest including oak, poplar, and hickory. Exceptional natural beauty makes this property ideal for a private estate or nature retreat. Wildlife is abundant. Property includes a maintained trail system that follows the creek and accesses the upper ridges.",500 feet,Electric available,PIK-2023-033,,,38-acres-pike-county-oh,2023-10-08
11,"200 Acres - Washington County Legacy Property",Washington,OH,Marietta,200,1100000,TRUE,/images/listings/listing-11-1.jpg,"/images/listings/listing-11-2.jpg,/images/listings/listing-11-3.jpg,/images/listings/listing-11-4.jpg,/images/listings/listing-11-5.jpg,/images/listings/listing-11-6.jpg,/images/listings/listing-11-7.jpg","Exceptional large tract with diverse terrain, lake, historic structures, and development potential.","Rare opportunity to acquire a significant land holding in Washington County. This 200-acre property offers incredible diversity: approximately 50 acres of open pasture land, a 3-acre stocked lake, mature timber stands, and rolling wooded hills. Property includes a historic barn (circa 1890) and original farmhouse foundation. Multiple building sites with spectacular views. Property could be subdivided or maintained as a single estate. Fully fenced perimeter with three separate gated entrances.","3,200 feet on two roads","Electric, phone, high-speed internet available",WAS-2024-001,https://www.youtube.com/embed/dQw4w9WgXcQ,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d24429.237023216238!2d-81.44843!3d39.41538!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88476c1e6b1f2b6d%3A0x5678!2sMarietta%2C+OH!5e0!3m2!1sen!2sus!4v1234567890"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",200-acres-washington-county-oh,2024-02-10
12,"76 Acres - Lawrence County Mixed-Use Farm",Lawrence,OH,Ironton,76,304000,FALSE,/images/listings/listing-12-1.jpg,"/images/listings/listing-12-2.jpg,/images/listings/listing-12-3.jpg,/images/listings/listing-12-4.jpg","Well-balanced farm with pasture, cropland, and timber. Suitable for livestock operation.","Versatile 76-acre farm offering multiple agricultural opportunities. Property includes 30 acres of open land (combination of pasture and tillable ground), 40 acres of mixed timber, and 6 acres of managed food plots. Perimeter and cross-fencing in good condition. Two stock ponds. Property has supported a successful cattle operation for years. Good building sites with utilities available.",900 feet,"Electric, phone available",LAW-2023-028,,,76-acres-lawrence-county-oh,2023-11-22
